symbol,name,ranknow
UFO,UFO Coin,480
ERO,Eroscoin,481
1337,Elite,482
CRED,Verify,483
TIPS,FedoraCoin,484
MEME,Memetic / PepeCoin,485
NVC,Novacoin,486
VRM,VeriumReserve,487
HYP,HyperStake,488
EVR,Everus,489
BTM,Bitmark,490
ADST,AdShares,491
SSS,Sharechain,492
EVE,Devery,493
QWARK,Qwark,494
BBT,BitBoost,495
BDL,Bitdeal,496
FLIK,FLiK,497
BUZZ,BuzzCoin,498
VTR,vTorrent,499
INN,Innova,500
DOT,Dotcoin,501
ERC,EuropeCoin,502
CHIPS,CHIPS,503
SCL,Social,504
PTC,Pesetacoin,505
OPT,Opus,506
PLAY,HEROcoin,507
RIC,Riecoin,508
INXT,Internxt,509
BTDX,Bitcloud,510
TX,TransferCoin,511
CL,Coinlancer,512
BET,DAO.Casino,513
XBC,Bitcoin Plus,514
SNRG,Synergy,515
BRX,Breakout Stake,516
ATMS,Atmos,517
KORE,Kore,518
MAG,Magnet,519
CRC,CrowdCoin,520
ATL,ATLANT,521
CANN,CannabisCoin,522
WISH,MyWish,523
GLD,GoldCoin,524
DGPT,DigiPulse,525
BUN,BunnyCoin,526
WILD,Wild Crypto,527
CRB,Creditbit,528
KLC,KiloCoin,529
BLITZ,Blitzcash,530
ADC,AudioCoin,531
BRK,Breakout,532
ZEIT,Zeitcoin,533
ZNY,Bitzeny,534
SEND,Social Send,535
GCN,GCN Coin,536
2GIVE,2GIVE,537
TZC,TrezarCoin,538
BELA,Bela,539
HWC,HollyWoodCoin,540
UNY,Unity Ingot,541
TFL,TrueFlip,542
ZRC,ZrCoin,543
SPR,SpreadCoin,544
EXCL,ExclusiveCoin,545
BPL,Blockpool,546
MTNC,Masternodecoin,547
BON,Bonpay,548
HOLD,Interstellar Holdings,549
FYP,FlypMe,550
RUP,Rupee,551
XGOX,XGOX,552
KRB,Karbo,553
UFR,Upfiring,554
MAGE,MagicCoin,555
CHC,ChainCoin,556
VSX,Vsync,557
AMM,MicroMoney,558
TKS,Tokes,559
CREA,Creativecoin,560
QVT,Qvolta,561
HBC,HomeBlockCoin,562
MCAP,MCAP,563
PUT,PutinCoin,564
NOTE,DNotes,565
APX,APX,566
TRCT,Tracto,567
IND,Indorse Token,568
PROC,ProCurrency,569
ALT,Altcoin,570
PYLNT,Pylon Network,571
STAK,STRAKS,572
PDC,Project Decorum,573
TES,TeslaCoin,574
TRUST,TrustPlus,575
DNR,Denarius,576
MBRS,Embers,577
HUC,HunterCoin,578
